"TIME","GEO","NRG_BAL","INDIC_NRG","Value","Flag and Footnotes"
"2005M05","United Kingdom","Imports","Volume - thousand barrels","34,194.73",""
"2005M05","United Kingdom","Imports","Average price - USD per barrel","47.47",""
"2005M05","Montenegro","Imports","Volume - thousand barrels",":",""
"2005M05","Montenegro","Imports","Average price - USD per barrel",":",""
"2005M05","Türkiye","Imports","Volume - thousand barrels",":",""
"2005M05","Türkiye","Imports","Average price - USD per barrel",":",""
"2005M05","Moldova","Imports","Volume - thousand barrels",":",""
"2005M05","Moldova","Imports","Average price - USD per barrel",":",""
"2005M06","European Union - 27 countries (from 2020)","Imports","Volume - thousand barrels",":",""
"2005M06","European Union - 27 countries (from 2020)","Imports","Average price - USD per barrel",":",""
"2005M06","Belgium","Imports","Volume - thousand barrels","13,620.00",""
"2005M06","Belgium","Imports","Average price - USD per barrel","50.08",""
"2005M06","Bulgaria","Imports","Volume - thousand barrels","0.00",""
"2005M06","Bulgaria","Imports","Average price - USD per barrel",":","z"
"2005M06","Czechia","Imports","Volume - thousand barrels","4,378.33",""
"2005M06","Czechia","Imports","Average price - USD per barrel","51.23",""
"2005M06","Denmark","Imports","Volume - thousand barrels","2,377.00",""
"2005M06","Denmark","Imports","Average price - USD per barrel","55.10",""
"2005M06","Germany (until 1990 former territory of the FRG)","Imports","Volume - thousand barrels","65,086.00",""
"2005M06","Germany (until 1990 former territory of the FRG)","Imports","Average price - USD per barrel","52.05",""
"2005M06","Estonia","Imports","Volume - thousand barrels",":",""
"2005M06","Estonia","Imports","Average price - USD per barrel",":",""
"2005M06","Ireland","Imports","Volume - thousand barrels","1,871.95",""
"2005M06","Ireland","Imports","Average price - USD per barrel","55.03",""
"2005M06","Greece","Imports","Volume - thousand barrels","11,381.00",""
"2005M06","Greece","Imports","Average price - USD per barrel","49.85",""
"2005M06","Spain","Imports","Volume - thousand barrels","33,516.13",""
"2005M06","Spain","Imports","Average price - USD per barrel","49.03",""
"2005M06","France","Imports","Volume - thousand barrels","39,599.52",""
"2005M06","France","Imports","Average price - USD per barrel","51.41",""
"2005M06","Croatia","Imports","Volume - thousand barrels",":",""
"2005M06","Croatia","Imports","Average price - USD per barrel",":",""
"2005M06","Italy","Imports","Volume - thousand barrels","51,744.18",""
"2005M06","Italy","Imports","Average price - USD per barrel","50.53",""
"2005M06","Cyprus","Imports","Volume - thousand barrels",":",""
"2005M06","Cyprus","Imports","Average price - USD per barrel",":",""
"2005M06","Latvia","Imports","Volume - thousand barrels",":",""
"2005M06","Latvia","Imports","Average price - USD per barrel",":",""
"2005M06","Lithuania","Imports","Volume - thousand barrels","4,354.81",""
"2005M06","Lithuania","Imports","Average price - USD per barrel","49.18",""
"2005M06","Luxembourg","Imports","Volume - thousand barrels",":",""
"2005M06","Luxembourg","Imports","Average price - USD per barrel",":",""
"2005M06","Hungary","Imports","Volume - thousand barrels","3,565.77",""
"2005M06","Hungary","Imports","Average price - USD per barrel","49.71",""
"2005M06","Malta","Imports","Volume - thousand barrels",":",""
"2005M06","Malta","Imports","Average price - USD per barrel",":",""
"2005M06","Netherlands","Imports","Volume - thousand barrels","32,070.00",""
"2005M06","Netherlands","Imports","Average price - USD per barrel","49.49",""
"2005M06","Austria","Imports","Volume - thousand barrels","5,304.00",""
"2005M06","Austria","Imports","Average price - USD per barrel","49.12",""
"2005M06","Poland","Imports","Volume - thousand barrels","10,048.95",""
"2005M06","Poland","Imports","Average price - USD per barrel","49.48",""
"2005M06","Portugal","Imports","Volume - thousand barrels","8,172.16",""
"2005M06","Portugal","Imports","Average price - USD per barrel","48.39",""
"2005M06","Romania","Imports","Volume - thousand barrels","0.00",""
"2005M06","Romania","Imports","Average price - USD per barrel",":","z"
"2005M06","Slovenia","Imports","Volume - thousand barrels",":",""
"2005M06","Slovenia","Imports","Average price - USD per barrel",":",""
"2005M06","Slovakia","Imports","Volume - thousand barrels","2,827.46",""
"2005M06","Slovakia","Imports","Average price - USD per barrel","49.77",""
"2005M06","Finland","Imports","Volume - thousand barrels","8,078.40",""
"2005M06","Finland","Imports","Average price - USD per barrel","51.78",""
"2005M06","Sweden","Imports","Volume - thousand barrels","10,414.00",""
"2005M06","Sweden","Imports","Average price - USD per barrel","52.12",""
"2005M06","Norway","Imports","Volume - thousand barrels",":",""
"2005M06","Norway","Imports","Average price - USD per barrel",":",""
"2005M06","United Kingdom","Imports","Volume - thousand barrels","27,839.39",""
"2005M06","United Kingdom","Imports","Average price - USD per barrel","52.70",""
"2005M06","Montenegro","Imports","Volume - thousand barrels",":",""
"2005M06","Montenegro","Imports","Average price - USD per barrel",":",""
"2005M06","Türkiye","Imports","Volume - thousand barrels",":",""
"2005M06","Türkiye","Imports","Average price - USD per barrel",":",""
"2005M06","Moldova","Imports","Volume - thousand barrels",":",""
"2005M06","Moldova","Imports","Average price - USD per barrel",":",""
"2005M07","European Union - 27 countries (from 2020)","Imports","Volume - thousand barrels",":",""
"2005M07","European Union - 27 countries (from 2020)","Imports","Average price - USD per barrel",":",""
"2005M07","Belgium","Imports","Volume - thousand barrels","16,146.00",""
"2005M07","Belgium","Imports","Average price - USD per barrel","53.64",""
"2005M07","Bulgaria","Imports","Volume - thousand barrels","0.00",""
"2005M07","Bulgaria","Imports","Average price - USD per barrel",":","z"
"2005M07","Czechia","Imports","Volume - thousand barrels","5,385.65",""
"2005M07","Czechia","Imports","Average price - USD per barrel","54.18",""
"2005M07","Denmark","Imports","Volume - thousand barrels","1,603.00",""
"2005M07","Denmark","Imports","Average price - USD per barrel","57.25",""
"2005M07","Germany (until 1990 former territory of the FRG)","Imports","Volume - thousand barrels","65,149.00",""
"2005M07","Germany (until 1990 former territory of the FRG)","Imports","Average price - USD per barrel","56.10",""
"2005M07","Estonia","Imports","Volume - thousand barrels",":",""
"2005M07","Estonia","Imports","Average price - USD per barrel",":",""
"2005M07","Ireland","Imports","Volume - thousand barrels","1,838.71",""
"2005M07","Ireland","Imports","Average price - USD per barrel","58.36",""
"2005M07","Greece","Imports","Volume - thousand barrels","12,566.00",""
"2005M07","Greece","Imports","Average price - USD per barrel","54.20",""
"2005M07","Spain","Imports","Volume - thousand barrels","38,892.20",""
"2005M07","Spain","Imports","Average price - USD per barrel","54.39",""
"2005M07","France","Imports","Volume - thousand barrels","56,002.25",""
"2005M07","France","Imports","Average price - USD per barrel","56.21",""
"2005M07","Croatia","Imports","Volume - thousand barrels",":",""
"2005M07","Croatia","Imports","Average price - USD per barrel",":",""
"2005M07","Italy","Imports","Volume - thousand barrels","57,667.22",""
"2005M07","Italy","Imports","Average price - USD per barrel","54.33",""
